CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,AU,141.190.116.157,1.41.187.25,26045,32600
Traffic Log,MY,143.213.139.142,1.9.59.165,2874,53
Traffic Log,AU,150.133.244.133,1.41.151.71,7547,13331
Traffic Log,AU,155.6.45.234,1.43.23.233,7547,14568
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,64224
Traffic Log,AU,143.212.221.144,1.42.243.120,2926,28112
Traffic Log,MY,143.214.150.135,1.9.47.57,5685,53
Traffic Log,MY,155.6.114.68,1.9.108.33,2130,53
Traffic Log,AU,143.45.155.5,1.120.96.123,7547,25111
Traffic Log,MY,143.214.30.132,1.9.44.249,40496,53
Traffic Log,MY,143.46.32.142,1.9.69.226,40682,53
Traffic Log,MY,143.214.158.35,1.9.59.166,7633,53
Traffic Log,AU,143.214.55.23,1.43.23.233,7547,43689
Traffic Log,AU,155.6.120.184,1.41.151.71,7547,13331
Traffic Log,MY,155.5.245.181,1.9.126.54,35777,53
Traffic Log,MY,141.190.158.66,1.9.39.42,6592,53
Traffic Log,MY,155.6.143.91,1.9.24.200,9577,53
Traffic Log,MY,155.5.54.65,1.9.24.193,52299,53
Traffic Log,AU,150.137.176.227,1.43.23.233,7547,43689
Traffic Log,HK,143.46.199.23,1.36.15.4,17781,53
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,58882
Traffic Log,JP,150.133.131.68,1.21.11.163,4176,53
Traffic Log,KR,143.213.187.220,1.11.24.84,35694,39964
Traffic Log,HK,150.133.244.27,1.36.43.83,33063,53
Traffic Log,AU,143.214.25.71,1.43.23.233,7547,36614
Traffic Log,AU,155.5.173.132,1.41.151.71,7547,13331
Traffic Log,AU,150.137.122.102,1.41.151.71,7547,13331
Traffic Log,MY,143.214.30.132,1.9.44.249,40496,53
Traffic Log,AU,143.45.244.49,1.43.23.233,7547,43689
Traffic Log,AU,150.137.122.36,1.43.23.233,7547,43689
Traffic Log,AU,155.5.217.167,1.41.151.71,7547,13331
Traffic Log,AU,150.137.55.47,1.43.23.233,7547,43689
Traffic Log,AU,155.5.205.229,1.41.151.71,7547,13331
Traffic Log,AU,155.6.250.161,1.41.151.71,7547,13331
Traffic Log,AU,150.133.55.121,1.43.23.233,7547,7133
Traffic Log,HK,155.6.86.166,1.36.43.83,60594,53
Traffic Log,HK,155.6.200.236,1.36.15.4,24314,53
Traffic Log,MY,150.133.9.220,1.9.126.54,38630,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,49930
Traffic Log,AU,143.214.227.64,1.43.23.233,7547,43689
Traffic Log,JP,143.45.0.0,1.21.100.177,20154,63764
Traffic Log,JP,150.133.229.220,1.21.11.185,29416,53
Traffic Log,JP,143.45.240.183,1.21.11.185,28435,53
Traffic Log,AU,143.46.156.188,1.41.151.71,7547,13331
Traffic Log,AU,143.45.110.23,1.43.23.233,7547,43689
Traffic Log,MY,155.5.9.44,1.9.59.165,40758,53
Traffic Log,MY,155.6.203.149,1.9.39.42,24995,53
Traffic Log,MY,143.212.139.208,1.9.44.249,2938,53
Traffic Log,AU,150.133.168.45,1.41.151.71,7547,13331
Traffic Log,JP,143.214.255.255,1.66.101.21,32761,13632
Traffic Log,AU,155.6.242.11,1.43.23.233,7547,43689
Traffic Log,KR,155.6.211.183,1.11.150.63,55982,62578
Traffic Log,AU,150.133.88.134,1.41.151.71,7547,13331
Traffic Log,AU,150.137.66.103,1.43.23.233,7547,43689
Traffic Log,JP,143.213.248.48,1.21.10.81,30684,53
Traffic Log,IN,143.213.116.113,1.22.214.30,62491,53
Traffic Log,JP,143.45.83.47,1.21.12.65,53641,53
Traffic Log,AU,155.5.211.181,1.41.8.145,22656,57482
Traffic Log,JP,155.6.56.63,1.21.10.177,52811,53
Traffic Log,JP,150.137.48.199,1.21.11.162,48601,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,62820
Traffic Log,JP,143.213.235.191,1.21.11.185,27499,53
Traffic Log,AU,155.6.41.28,1.120.96.193,7547,35622
Traffic Log,MY,143.212.179.249,1.9.24.193,13219,53
Traffic Log,AU,150.137.164.167,1.43.23.233,7547,43689
Traffic Log,AU,143.212.96.69,1.43.23.233,7547,43689
Traffic Log,IN,155.5.53.77,1.22.196.107,52055,53
Traffic Log,AU,141.190.5.37,1.43.23.233,7547,43689
Traffic Log,KR,150.133.14.210,1.11.132.46,53824,57107
Traffic Log,AU,141.190.203.25,1.41.151.71,7547,13331
Traffic Log,MY,155.5.144.150,1.9.13.12,9890,53
Traffic Log,HK,141.190.117.2,1.36.43.83,61566,53
Traffic Log,AU,150.137.188.239,1.41.151.71,7547,13331
Traffic Log,AU,143.45.229.11,1.120.96.193,7547,35622
Traffic Log,AU,150.133.37.90,1.43.23.233,7547,54769
Traffic Log,MY,143.45.199.25,1.9.201.130,17781,53
Traffic Log,AU,155.5.230.179,1.43.23.233,7547,43689
Traffic Log,AU,141.190.247.185,1.41.151.71,7547,13331
Traffic Log,AU,143.214.172.248,1.41.151.71,7547,13331
Traffic Log,AU,143.46.227.15,1.41.151.71,7547,13331
Traffic Log,AU,141.190.24.255,1.43.23.233,7547,43689
Traffic Log,MY,141.190.94.192,1.9.126.54,55868,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,62292
Traffic Log,JP,143.45.0.0,1.21.100.177,20154,63764
